row,col,northing_km,easting_km,fire_norm,animal_norm,danger,removed,residual,has_stationary,has_camera,covered_by_drone,covered_by_human
6,42,-39.36,28.77,0.1596657720750993,0.7351715899093739,0.8948373619844732,0.18913956994216366,0.7056977920423095,0,0,0,0
6,43,-39.36,33.77,0.23568728742578957,0.7106366255186876,0.9463239129444772,0.20409519925106198,0.7422287136934151,0,0,0,0
6,44,-39.36,38.77,0.22665960560684528,0.6884596826223423,0.9151192882291875,0.26828561584929866,0.6468336723798889,0,0,0,0
6,45,-39.36,43.77,0.20163648488773425,0.6662098350136839,0.8678463199014181,0.8678463199014181,0.0,1,0,0,0
6,46,-39.36,48.77,0.1536490849853083,0.6412733915127813,0.7949224764980896,0.7901091202308514,0.004813356267238111,0,1,0,0
6,47,-39.36,53.77,0.16124684317609866,0.6174016073306858,0.7786484505067846,0.7291387833113407,0.04950966719544381,0,1,1,0
6,48,-39.36,58.77,0.18055761237515364,0.5953801227808376,0.7759377351559913,0.3049401143923741,0.4709976207636172,0,0,1,0
6,49,-39.36,63.77,0.2649888597151869,0.5752852264353671,0.840274086150554,0.21482813471168352,0.6254459514388705,0,0,1,1
6,50,-39.36,68.77,0.3503027734682981,0.5575415582427155,0.9078443317110135,0.19326282675029333,0.7145815049607203,0,0,1,1
6,51,-39.36,73.77,0.316508582434306,0.5428355434106802,0.8593441258449862,0.2714172993840749,0.5879268264609113,0,0,1,1
6,52,-39.36,78.77,0.3040238615564745,0.5319442942018701,0.8359681557583445,0.41244747914491253,0.42352067661343196,0,0,1,1
6,53,-39.36,83.77,0.3625521366547902,0.5255722487499893,0.8881243854047796,0.5864435004413359,0.3016808849634437,0,0,1,1
6,54,-39.36,88.77,0.39465981487606294,0.5239345710470875,0.9185943859231505,0.6253263658746918,0.29326802004845864,0,0,1,1
6,55,-39.36,93.77,0.41337431545592773,0.5191156996884403,0.932490015144368,0.46696512416559205,0.465524890978776,0,0,1,1
6,56,-39.36,98.77,0.4513903828799186,0.5076822127705651,0.9590725956504838,0.5569951678401378,0.40207742781034594,0,0,1,1
6,57,-39.36,103.77,0.5243428765601389,0.5027618497425621,1.027104726302701,1.027104726302701,0.0,0,0,1,1
6,58,-39.36,108.77,0.5647620284237075,0.5063043538918365,1.071066382315544,1.071066382315544,0.0,0,0,1,1
6,59,-39.36,113.77,0.48132208362077533,0.514931413841867,0.9962534974626424,0.6452551263255157,0.3509983711371266,0,0,1,1
6,60,-39.36,118.77,0.2961333031122125,0.521220373538396,0.8173536766506084,0.18180639612581287,0.6355472805247956,0,0,1,1
7,6,-34.36,-151.23,0.023904447686080518,0.22332414644278786,0.24722859412886838,0.0,0.24722859412886838,0,0,0,0
7,7,-34.36,-146.23,0.019920690115646275,0.2590354923226442,0.2789561824382905,0.0,0.2789561824382905,0,0,0,0
7,31,-34.36,-26.23,0.1331679739633485,0.8439570250344243,0.9771249989977728,0.5077361779377957,0.46938882105997715,0,0,1,0
7,32,-34.36,-21.23,0.2119285411535069,0.8546548259219876,1.0665833670754945,0.900553357802133,0.16603000927336153,0,0,1,0
7,33,-34.36,-16.23,0.2521403941605833,0.8500850978546807,1.1022254920152639,1.1022254920152639,0.0,0,0,1,0
